company_id,company_name,candidate_id,template_plan_id,physical_portfolio_id,from_scenario_id,to_scenario_id,from_scenario_feasible,to_scenario_feasible,same_physical_portfolio,common_avoided_emissions_mtco2,delta_p50_common_kkrw_per_tco2,delta_tcar_kkrw_per_tco2,delta_absolute_npv_p50_bn_krw,delta_absolute_npv_p90_bn_krw,delta_aligned_capex_bn_krw,delta_net_cash_cost_p50_bn_krw,delta_avoided_carbon_value_p50_bn_krw,delta_policy_support_value_p50_bn_krw
JFE_STEEL_JP,JFE Steel,CAND-BD69BDF77D11F9,P2,PORT-1C641A2E58FD,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,205.820907,10.608199,-1.532908,2183.389,1867.884,0.0,-1194.638,-3378.027,-453.695
JFE_STEEL_JP,JFE Steel,CAND-C535F3B5D7A55A,P1,PORT-1C641A2E58FD,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,205.820907,9.914008,-1.971271,2040.51,1634.781,0.0,-1337.517,-3378.027,-314.561
JFE_STEEL_JP,JFE Steel,CAND-C973F96EA1BC5C,P1,PORT-E123D45B71CC,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,226.220909,1.97028,-7.341368,445.718,-1215.053,0.0,-3259.141,-3704.86,-519.979
JFE_STEEL_JP,JFE Steel,CAND-CB30BCF3D9CF92,P1,PORT-D5A2DA370FDA,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,185.08836,14.355028,-0.542349,2656.949,2556.566,0.0,-483.78,-3140.728,-209.323
JFE_STEEL_JP,JFE Steel,CAND-CBE864A3B5E624,P2,PORT-408F044D6828,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,302.295879,3.380948,-5.225141,1022.046,-557.492,0.0,-3966.563,-4988.609,-1660.348
JFE_STEEL_JP,JFE Steel,CAND-D31DAEDCB107AF,P1,PORT-0FD37D80B1EA,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,330.620869,5.719288,-5.709112,1890.916,3.365,0.0,-3589.645,-5480.561,-655.827
JFE_STEEL_JP,JFE Steel,CAND-DF57CBE06564A4,P3,PORT-6E49C004BA31,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,163.575867,8.658224,-0.983866,1416.277,1255.34,0.0,-1349.869,-2766.145,-1376.138
JFE_STEEL_JP,JFE Steel,CAND-DFCA23D16E81A2,P1,PORT-408F044D6828,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,302.295879,0.399922,-7.312194,120.895,-2089.551,0.0,-4867.714,-4988.609,-701.914
JFE_STEEL_JP,JFE Steel,CAND-DFD36ABEC37623,P1,PORT-7F45069F34E3,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,203.088353,5.528566,-5.687942,1122.788,-32.367,0.0,-2324.096,-3446.883,-437.029
JFE_STEEL_JP,JFE Steel,CAND-E142C0366C78ED,P4,PORT-49F18FB13125,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,369.350858,12.977114,-0.522645,4793.108,4600.069,0.0,-1239.603,-6032.711,-3788.58
JFE_STEEL_JP,JFE Steel,CAND-E1C48D333700EA,P7,PORT-B91429E42CEB,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,445.512827,29.774176,0.25534,13264.777,13378.534,0.0,6050.171,-7214.607,-14492.487
JFE_STEEL_JP,JFE Steel,CAND-E280945A557960,P1,PORT-E5F3D5116135,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,321.408363,8.044128,-4.598404,2585.45,1107.485,0.0,-2757.065,-5342.515,-562.207
JFE_STEEL_JP,JFE Steel,CAND-E2E67FC7600525,P2,PORT-7BA11C62DF95,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,219.408411,6.640389,-3.468392,1456.957,695.963,0.0,-2130.534,-3587.491,-914.018
JFE_STEEL_JP,JFE Steel,CAND-E5C3BE482793EF,P4,PORT-4577AB24CD05,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,389.600851,12.337158,0.084813,4806.567,4839.61,0.0,-1567.101,-6373.669,-6061.793
JFE_STEEL_JP,JFE Steel,CAND-E72109958C3B57,P2,PORT-E5F3D5116135,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,321.408363,9.310314,-3.610719,2992.413,1831.898,0.0,-2350.102,-5342.515,-954.747
JFE_STEEL_JP,JFE Steel,CAND-E8FAD9BDD034A5,P3,PORT-51A2628EF9C2,ACCELERATED_15C,DISCLOSED_PATH,True,True,True,328.220861,9.640513,-2.138713,3164.217,2462.247,0.0,-2295.666,-5459.883,-2030.064
JFE_STEEL_JP,JFE Steel,CAND-E97F5B55830909,P1,PORT-A7F00CD0D5D9,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,145.575874,14.676223,-1.63829,2136.504,1898.009,0.0,-323.485,-2459.99,-137.955
